(Intercept),cantidad_tipo,cantidad_dosis,cvegeo6,cvegeo9,cvegeo11,cvegeo12,cvegeo14,cvegeo15,cvegeo19,cvegeo20,cvegeo21,cvegeo22,cvegeo23,cvegeo27,cvegeo28,cvegeo29,cvegeo31,cvegeo32,anio
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2027
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026
1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2027
